party,data_type,2018,1 Kasim 2015,7 Haziran 2015,2011,2007,2002,1999,1995,1991,1987,1983,1977,1973,1969,1965,1961,1957,1954,1950
Kayıtlı seçmen sayısı,,59367469,56949009,56608817,52806322,42799303,41407027,37495217,34155981,29979123,26376926,19767366,21207303,16798164,14788552,13679753,12925395,12078623,10262063,8905743
Oy kullanan seçmen sayısı,,51189444,48537695,47507467,43914948,36056293,32768161,32656070,29101469,25157089,24603541,18238362,15358210,11223843,9516035,9748678,10522716,9250949,9095617,7953085
Katılım oranı (%),,"86,2","85,2","83,9","83,2","84,2","79,1","87,1","85,2","83,9","93,3","92,3","72,4","66,8","64,3","71,3","81,4","76,6","88,6","89,3"
Geçerli oy sayısı,,48631366,46555267,45121773,42813896,34822907,31414748,31119242,28040392,24371474,23923687,17351510,14827172,10723658,9086296,9307563,10138035,,,
Yurt dışı/gümrük kapıları geçerli oy sayısı,,1505809,1284964,1041470,127867,226784,114035,65254,86601,45192,47942,,,,,,,,,
Toplam geçerli oy sayısı,,50137175,47840231,46163243,42941763,35049691,31528783,31184496,28126993,24416666,23971629,17351510,,,,,,,,
Milletvekili sayısı,,600,550,550,550,550,550,550,550,450,450,399,450,450,450,450,450,610,541,487
AK PARTİ,A,21338693,23681926,18867411,21399082,16327291,10808229,,,,,,,,,,,,,
AK PARTİ,B,"42,6","49,5","40,9","49,8","46,6","34,3",,,,,,,,,,,,,
AK PARTİ,C,295,317,258,327,341,363,,,,,,,,,,,,,
ANADOLU PARTİSİ,A,,,27688,,,,,,,,,,,,,,,,
ANADOLU PARTİSİ,B,,,",1",,,,,,,,,,,,,,,,
ANADOLU PARTİSİ,C,,,,,,,,,,,,,,,,,,,
ANAP,A,,,,,,1618465,4122929,5527288,5862623,8704335,7833148,,,,,,,,
ANAP,B,,,,,,"5,1","13,2","19,6",24,"36,3","45,1",,,,,,,,
ANAP,C,,,,,,,86,132,115,292,211,,,,,,,,
ATP,A,,,,,100982,,,,,,,,,,,,,,
ATP,B,,,,,",3",,,,,,,,,,,,,,
ATP,C,,,,,,,,,,,,,,,,,,,
BBP,A,,253204,,323251,,322093,456353,,,,,,,,,,,,
BBP,B,,",5",,",8",,1,"1,5",,,,,,,,,,,,
BBP,C,,,,,,,,,,,,,,,,,,,
BP,A,,,,,,,78922,,,,,,,,,,,,
BP,B,,,,,,,",2",,,,,,,,,,,,
BP,C,,,,,,,,,,,,,,,,,,,
BTP,A,,49297,96475,,182095,150482,,,,,,,,,,,,,
BTP,B,,",1",",2",,",5",",5",,,,,,,,,,,,,
BTP,C,,,,,,,,,,,,,,,,,,,
CHP,A,11354190,12111812,11518139,11155972,7317808,6113352,2716094,3011076,,,,,,,,,,,
CHP,B,"22,6","25,3",25,26,"20,9","19,4","8,7","10,7",,,,,,,,,,,
CHP,C,146,134,132,135,112,178,,49,,,,,,,,,,,
DBP,A,,,,,,,24620,,,,,,,,,,,,
DBP,B,,,,,,,",1",,,,,,,,,,,,
DBP,C,,,,,,,,,,,,,,,,,,,
DEHAP,A,,,,,,1960660,,,,,,,,,,,,,
DEHAP,B,,,,,,"6,2",,,,,,,,,,,,,
DEHAP,C,,,,,,,,,,,,,,,,,,,
DEPAR,A,,,,,,,37175,,,,,,,,,,,,
DEPAR,B,,,,,,,",1",,,,,,,,,,,,
DEPAR,C,,,,,,,,,,,,,,,,,,,
DP,A,,69319,75784,279480,1898873,,92093,,,,,,,,,,,,
DP,B,,",1",",2",",7","5,4",,",3",,,,,,,,,,,,
DP,C,,,,,,,,,,,,,,,,,,,
DSP,A,,31805,85810,108089,,384009,6919670,4118025,2624301,2044576,,,,,,,,,
DSP,B,,",1",",2",",3",,"1,2","22,2","14,6","10,8","8,5",,,,,,,,,
DSP,C,,,,,,,136,76,7,,,,,,,,,,
DTP,A,,,,,,,179871,,,,,,,,,,,,
DTP,B,,,,,,,",6",,,,,,,,,,,,
DTP,C,,,,,,,,,,,,,,,,,,,
DYP,A,,14131,28852,64607,,3008942,3745417,5396009,6600726,4587062,,,,,,,,,
DYP,B,,0,",1",",2",,"9,5",12,"19,2",27,"19,1",,,,,,,,,
DYP,C,,,,,,,85,135,178,59,,,,,,,,,
EMEP,A,,,,32128,26292,,51756,,,,,,,,,,,,
EMEP,B,,,,",1",",1",,",2",,,,,,,,,,,,
EMEP,C,,,,,,,,,,,,,,,,,,,
FP,A,,,,,,,4805381,,,,,,,,,,,,
FP,B,,,,,,,"15,4",,,,,,,,,,,,
FP,C,,,,,,,111,,,,,,,,,,,,
GENÇ PARTİ,A,,,,,1064871,2285598,,,,,,,,,,,,,
GENÇ PARTİ,B,,,,,3,"7,2",,,,,,,,,,,,,
GENÇ PARTİ,C,,,,,,,,,,,,,,,,,,,
HADEP,A,,,,,,,1482196,1171623,,,,,,,,,,,
HADEP,B,,,,,,,"4,7","4,2",,,,,,,,,,,
HADEP,C,,,,,,,,,,,,,,,,,,,
HAK-PAR,A,,108583,58716,,,,,,,,,,,,,,,,
HAK-PAR,B,,",2",",1",,,,,,,,,,,,,,,,
HAK-PAR,C,,,,,,,,,,,,,,,,,,,
HAP,A,,,5711,,,,,,,,,,,,,,,,
HAP,B,,,0,,,,,,,,,,,,,,,,
HAP,C,,,,,,,,,,,,,,,,,,,
HAS PARTİ,A,,,,329723,,,,,,,,,,,,,,,
HAS PARTİ,B,,,,",8",,,,,,,,,,,,,,,
HAS PARTİ,C,,,,,,,,,,,,,,,,,,,
HDP,A,5867302,5148085,6058489,,,,,,,,,,,,,,,,
HDP,B,"11,7","10,8","13,1",,,,,,,,,,,,,,,,
HDP,C,67,59,80,,,,,,,,,,,,,,,,
HEPAR,A,,,,124415,,,,,,,,,,,,,,,
HEPAR,B,,,,",3",,,,,,,,,,,,,,,
HEPAR,C,,,,,,,,,,,,,,,,,,,
HKP,A,,83057,60396,,,,,,,,,,,,,,,,
HKP,B,,",2",",1",,,,,,,,,,,,,,,,
HKP,C,,,,,,,,,,,,,,,,,,,
HP,A,,,,,,,,,,,5285804,,,,,,,,
HP,B,,,,,,,,,,,"30,5",,,,,,,,
HP,C,,,,,,,,,,,117,,,,,,,,
HÜDA PAR,A,155539,,,,,,,,,,,,,,,,,,
HÜDA PAR,B,",3",,,,,,,,,,,,,,,,,,
HÜDA PAR,C,,,,,,,,,,,,,,,,,,,
HYP,A,,,,,179010,,,,,,,,,,,,,,
HYP,B,,,,,",5",,,,,,,,,,,,,,
HYP,C,,,,,,,,,,,,,,,,,,,
IDP,A,,,,,,,,,,196272,,,,,,,,,
IDP,B,,,,,,,,,,",8",,,,,,,,,
IDP,C,,,,,,,,,,,,,,,,,,,
İP,A,,,,,128148,159843,57607,61428,,,,,,,,,,,
İP,B,,,,,",4",",5",",2",",2",,,,,,,,,,,
İP,C,,,,,,,,,,,,,,,,,,,
İYİ PARTİ,A,4993479,,,,,,,,,,,,,,,,,,
İYİ PARTİ,B,10,,,,,,,,,,,,,,,,,,
İYİ PARTİ,C,43,,,,,,,,,,,,,,,,,,
KP,A,,52527,13780,,,,,,,,,,,,,,,,
KP,B,,",1",0,,,,,,,,,,,,,,,,
KP,C,,,,,,,,,,,,,,,,,,,
LDP,A,,26816,26500,15222,35364,89331,127174,,,,,,,,,,,,
LDP,B,,",1",",1",0,",1",",3",",4",,,,,,,,,,,,
LDP,C,,,,,,,,,,,,,,,,,,,
MÇP,A,,,,,,,,,,701538,,,,,,,,,
MÇP,B,,,,,,,,,,"2,9",,,,,,,,,
MÇP,C,,,,,,,,,,,,,,,,,,,
MDP,A,,,,,,,,,,,4036970,,,,,,,,
MDP,B,,,,,,,,,,,"23,3",,,,,,,,
MDP,C,,,,,,,,,,,71,,,,,,,,
MEP,A,,,20945,,,,,,,,,,,,,,,,
MEP,B,,,0,,,,,,,,,,,,,,,,
MEP,C,,,,,,,,,,,,,,,,,,,
MHP,A,5565331,5694136,7520006,5585513,5001869,2635787,5606583,2301343,,,,,,,,,,,
MHP,B,"11,1","11,9","16,3",13,"14,3","8,4",18,"8,2",,,,,,,,,,,
MHP,C,49,40,80,53,71,,129,,,,,,,,,,,,
MİLLET PARTİSİ,A,,19714,17473,60716,,68271,79370,127630,,,,,,,,,,,
MİLLET PARTİSİ,B,,0,0,",1",,",2",",3",",5",,,,,,,,,,,
MİLLET PARTİSİ,C,,,,,,,,,,,,,,,,,,,
MMP,A,,,,36188,,,,,,,,,,,,,,,
MMP,B,,,,",1",,,,,,,,,,,,,,,
MMP,C,,,,,,,,,,,,,,,,,,,
ÖDP,A,,,,,52055,106023,248553,,,,,,,,,,,,
ÖDP,B,,,,,",2",",3",",8",,,,,,,,,,,,
ÖDP,C,,,,,,,,,,,,,,,,,,,
RP,A,,,,,,,,6012450,4121355,1717425,,,,,,,,,
RP,B,,,,,,,,"21,4","16,9","7,2",,,,,,,,,
RP,C,,,,,,,,158,62,,,,,,,,,,
SAADET PARTİSİ,A,672139,325978,949178,543454,820289,785489,,,,,,,,,,,,,
SAADET PARTİSİ,B,"1,3",",7","2,1","1,3","2,3","2,5",,,,,,,,,,,,,
SAADET PARTİSİ,C,,,,,,,,,,,,,,,,,,,
SHP,A,,,,,,,,,5066571,5931000,,,,,,,,,
SHP,B,,,,,,,,,"20,8","24,8",,,,,,,,,
SHP,C,,,,,,,,,88,99,,,,,,,,,
SİP,A,,,,,,,37680,,,,,,,,,,,,
SİP,B,,,,,,,",1",,,,,,,,,,,,
SİP,C,,,,,,,,,,,,,,,,,,,
SP,A,,,,,,,,,108369,,,,,,,,,,
SP,B,,,,,,,,,",4",,,,,,,,,,
SP,C,,,,,,,,,,,,,,,,,,,
TKP,A,,,,64006,79258,59180,,,,,,,,,,,,,
TKP,B,,,,",1",",2",",2",,,,,,,,,,,,,
TKP,C,,,,,,,,,,,,,,,,,,,
TURK PARTİ,A,,,72701,,,,,,,,,,,,,,,,
TURK PARTİ,B,,,",2",,,,,,,,,,,,,,,,
TURK PARTİ,C,,,,,,,,,,,,,,,,,,,
VATAN PARTİSİ,A,114872,118803,161674,,,,,,,,,,,,,,,,
VATAN PARTİSİ,B,",2",",2",",4",,,,,,,,,,,,,,,,
VATAN PARTİSİ,C,,,,,,,,,,,,,,,,,,,
YDH,A,,,,,,,,133889,,,,,,,,,,,
YDH,B,,,,,,,,",5",,,,,,,,,,,
YDH,C,,,,,,,,,,,,,,,,,,,
YDP,A,,,,,,,44787,95484,,,,,,,,,,,
YDP,B,,,,,,,",1",",3",,,,,,,,,,,
YDP,C,,,,,,,,,,,,,,,,,,,
YENİ PARTİ,A,,,,,,,,36853,,,,,,,,,,,
YENİ PARTİ,B,,,,,,,,",1",,,,,,,,,,,
YENİ PARTİ,C,,,,,,,,,,,,,,,,,,,
YTP,A,,,,,,363869,,,,,,,,,,,,,
YTP,B,,,,,,"1,2",,,,,,,,,,,,,
YTP,C,,,,,,,,,,,,,,,,,,,
YURT-P,A,,,9289,,,294909,,,,,,,,,,,,,
YURT-P,B,,,0,,,",9",,,,,,,,,,,,,
YURT-P,C,,,,,,,,,,,,,,,,,,,
Bağımsız,A,75630,51038,488226,2819917,1835486,314251,270265,133895,32721,89421,195588,,,,,,,,
Bağımsız,B,",2",",1","1,1","6,6","5,2",1,",9",",5",",1",",4","1,1",,,,,,,,
Bağımsız,C,,,,35,26,9,3,,,,,,,,,,,,
AP,A,,,,,,,,,,,,5468202,3197897,4229712,4921235,3527435,,,
AP,B,,,,,,,,,,,,"36,9","29,8","46,6","52,9","34,8",,,
AP,C,,,,,,,,,,,,189,149,256,240,158,,,
BİRLİK PARTİSİ,A,,,,,,,,,,,,,,254695,,,,,
BİRLİK PARTİSİ,B,,,,,,,,,,,,,,"2,8",,,,,
BİRLİK PARTİSİ,C,,,,,,,,,,,,,,8,,,,,
CHP,A,,,,,,,,,,,,6136171,3570583,2487006,2675785,3724752,3825267,3193471,3148626
CHP,B,,,,,,,,,,,,"41,4","33,3","27,4","28,7","36,7","41,4","35,1","39,6"
CHP,C,,,,,,,,,,,,213,185,143,134,173,178,31,69
CGP,A,,,,,,,,,,,,277713,564343,,,,,,
CGP,B,,,,,,,,,,,,"1,9","5,3",,,,,,
CGP,C,,,,,,,,,,,,3,13,,,,,,
CKMP,A,,,,,,,,,,,,,,,208696,1415390,,,
CKMP,B,,,,,,,,,,,,,,,"2,2",14,,,
CKMP,C,,,,,,,,,,,,,,,11,54,,,
CMP,A,,,,,,,,,,,,,,,,,604087,480249,
CMP,B,,,,,,,,,,,,,,,,,"6,5","5,3",
CMP,C,,,,,,,,,,,,,,,,,4,5,
DP,A,,,,,,,,,,,,,,,,,4497811,5313659,4391694
DP,B,,,,,,,,,,,,,,,,,"48,6","58,4","55,2"
DP,C,,,,,,,,,,,,,,,,,424,503,416
DEMOKRATİK PARTİ,A,,,,,,,,,,,,274484,1275502,,,,,,
DEMOKRATİK PARTİ,B,,,,,,,,,,,,"1,8","11,9",,,,,,
DEMOKRATİK PARTİ,C,,,,,,,,,,,,1,45,,,,,,
GP,A,,,,,,,,,,,,,,597818,,,,,
GP,B,,,,,,,,,,,,,,"6,6",,,,,
GP,C,,,,,,,,,,,,,,15,,,,,
İP,A,,,,,,,,,,,,,,,,,,910,
İP,B,,,,,,,,,,,,,,,,,,0,
İP,C,,,,,,,,,,,,,,,,,,,
KP,A,,,,,,,,,,,,,,,,,,50935,
KP,B,,,,,,,,,,,,,,,,,,"0,6",
KP,C,,,,,,,,,,,,,,,,,,,
HÜRRİYET PARTİSİ,A,,,,,,,,,,,,,,,,,321471,,
HÜRRİYET PARTİSİ,B,,,,,,,,,,,,,,,,,"3,5",,
HÜRRİYET PARTİSİ,C,,,,,,,,,,,,,,,,,4,,
MİLLET PARTİSİ,A,,,,,,,,,,,,,62377,292961,582704,,,,368537
MİLLET PARTİSİ,B,,,,,,,,,,,,,"0,6","3,2","6,3",,,,"4,6"
MİLLET PARTİSİ,C,,,,,,,,,,,,,,6,31,,,,1
MHP,A,,,,,,,,,,,,951544,362208,275091,,,,,
MHP,B,,,,,,,,,,,,"6,4","3,4",3,,,,,
MHP,C,,,,,,,,,,,,16,3,1,,,,,
MSP,A,,,,,,,,,,,,1269918,1265771,,,,,,
MSP,B,,,,,,,,,,,,"8,6","11,8",,,,,,
MSP,C,,,,,,,,,,,,24,48,,,,,,
TBP,A,,,,,,,,,,,,58540,121759,,,,,,
TBP,B,,,,,,,,,,,,"0,4","1,1",,,,,,
TBP,C,,,,,,,,,,,,,1,,,,,,
TİP,A,,,,,,,,,,,,20565,,243631,276101,,,,
TİP,B,,,,,,,,,,,,"0,1",,"2,7",3,,,,
TİP,C,,,,,,,,,,,,,,2,14,,,,
VP,A,,,,,,,,,,,,,,,,,463,,
VP,B,,,,,,,,,,,,,,,,,0,,
VP,C,,,,,,,,,,,,,,,,,,,
YTP ,A,,,,,,,,,,,,,,197929,346514,1391934,,,
YTP ,B,,,,,,,,,,,,,,"2,2","3,7","13,7",,,
YTP ,C,,,,,,,,,,,,,,6,19,65,,,
Bağımsız,A,,,,,,,,,,,,370035,303218,511023,296528,81732,1850,56393,44537
Bağımsız,B,,,,,,,,,,,,"2,5","2,8","5,6","3,2","0,8",0,"0,6","0,6"
Bağımsız,C,,,,,,,,,,,,4,6,13,1,,,2,1
